componentInstanceURI,componentStemURI,instrumentSlotURI,slotNumber,instrumentInstanceURI,instrumentLabel,componentEvidenceName,inferenceSource,oldLabel,newLabel
pmsr:CPI7371606432175,pmsr:/COM950b3d31e301fbc7e,pmsr:/INS1739398437257165/CTS/0004,0004,pmsr:INI1784603367399,Simulador de Ventilador SN:030037,Airway Simulator Pulse Rate Detector,component-evidence-name,Simulation support component for Simulador de Ventilador SN:030037,Pulse rate detector for monitoring cardiovascular response for Simulador de Ventilador SN:030037
pmsr:CPI9139440549524,pmsr:/COM935fb928072e9f557,pmsr:/INS1739398437257165/CTS/0005,0005,pmsr:INI1784603367399,Simulador de Ventilador SN:030037,Airway Simulator Applied Force Detector,component-evidence-name,Simulation support component for Simulador de Ventilador SN:030037,Applied force detector for monitoring procedural force application for Simulador de Ventilador SN:030037
pmsr:CPI4381689061709,pmsr:/COM17860549784667900,ncit:C16830/CTS/0001,0001,pmsr:INI1784603367408,Mesa Body Interact SN:040005,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Mesa Body Interact SN:040005,Primary state detector for simulator condition monitoring
pmsr:CPI9028854397760,pmsr:/COM17860549784667940,ncit:C16830/CTS/0002,0002,pmsr:INI1784603367408,Mesa Body Interact SN:040005,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Mesa Body Interact SN:040005,Primary response actuator for simulator state control
pmsr:CPI4222516593397,pmsr:/COM909d6d9cdb98cf3b5,ncit:C16830/CTS/0003,0003,pmsr:INI1784603367408,Mesa Body Interact SN:040005,Medical Device Interaction Event Detector,component-evidence-name,Simulation support component for Mesa Body Interact SN:040005,Interaction event detector for tracking learner actions for Mesa Body Interact SN:040005
pmsr:CPI2864303280713,pmsr:/COM17860549784661540,pmsr:/INS1739452063713965/CTS/0001,0001,pmsr:INI1784603367410,Mesa de anatomia SN:040006,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Mesa de anatomia SN:040006,Primary state detector for simulator condition monitoring
pmsr:CPI0770894877249,pmsr:/COM17860549784661570,pmsr:/INS1739452063713965/CTS/0002,0002,pmsr:INI1784603367410,Mesa de anatomia SN:040006,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Mesa de anatomia SN:040006,Primary response actuator for simulator state control
pmsr:CPI4513236969729,pmsr:/COM9b2164f02cfa26970,pmsr:/INS1739452063713965/CTS/0003,0003,pmsr:INI1784603367410,Mesa de anatomia SN:040006,Anatomage Table Simulator Probe Contact Detector,component-evidence-name,Simulation support component for Mesa de anatomia SN:040006,Probe contact detector for verifying probe-to-surface contact quality for Mesa de anatomia SN:040006
pmsr:CPI1365971430833,pmsr:/COM17860549784663440,pmsr:/INS1739287212610855/CTS/0001,0001,pmsr:INI1784603367411,Modelo Dani SN:040007,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Modelo Dani SN:040007,Primary state detector for simulator condition monitoring
pmsr:CPI7628039196174,pmsr:/COM17860549784663480,pmsr:/INS1739287212610855/CTS/0002,0002,pmsr:INI1784603367411,Modelo Dani SN:040007,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Modelo Dani SN:040007,Primary response actuator for simulator state control
pmsr:CPI6677859355720,pmsr:/COM9353c22c5ba75ca42,pmsr:/INS1739287212610855/CTS/0003,0003,pmsr:INI1784603367411,Modelo Dani SN:040007,Dani Model Scenario State Detector,component-evidence-name,Simulation support component for Modelo Dani SN:040007,State detector for monitoring simulator condition changes for Modelo Dani SN:040007
pmsr:CPI0293589897545,pmsr:/COM97d2086a75ab53ee1,pmsr:/INS1739287212610855/CTS/0004,0004,pmsr:INI1784603367411,Modelo Dani SN:040007,Dani Model Airway Pressure Detector,component-evidence-name,Simulation support component for Modelo Dani SN:040007,Airway pressure detector for monitoring ventilation pressure for Modelo Dani SN:040007
pmsr:CPI9314650810153,pmsr:/COM91b861f9b1f5aaed2,pmsr:/INS1739287212610855/CTS/0005,0005,pmsr:INI1784603367411,Modelo Dani SN:040007,Dani Model Pulse Rate Detector,component-evidence-name,Simulation support component for Modelo Dani SN:040007,Pulse rate detector for monitoring cardiovascular response for Modelo Dani SN:040007
pmsr:CPI2122596505475,pmsr:/COM9e21c24b6f5f817b7,pmsr:/INS1739287212610855/CTS/0006,0006,pmsr:INI1784603367411,Modelo Dani SN:040007,Dani Model Applied Force Detector,component-evidence-name,Simulation support component for Modelo Dani SN:040007,Applied force detector for monitoring procedural force application for Modelo Dani SN:040007
pmsr:CPI3743467719193,pmsr:/COM9a0cace6ab8fdc335,pmsr:/INS1739287212610855/CTS/0007,0007,pmsr:INI1784603367411,Modelo Dani SN:040007,Dani Model Venous Flashback Detector,component-evidence-name,Simulation support component for Modelo Dani SN:040007,Venous flashback detector for confirming vascular access events for Modelo Dani SN:040007
pmsr:CPI2244282994546,pmsr:/COM91cc68152e810d31e,pmsr:/INS1739287212610855/CTS/0008,0008,pmsr:INI1784603367411,Modelo Dani SN:040007,Dani Model Action Sequence Detector,component-evidence-name,Simulation support component for Modelo Dani SN:040007,Action sequence detector for checking step order compliance for Modelo Dani SN:040007
pmsr:CPI4219020335017,pmsr:/COM9e988edbc795ec972,pmsr:/INS1739287212610855/CTS/0009,0009,pmsr:INI1784603367411,Modelo Dani SN:040007,Dani Model Ventilation Flow Detector,component-evidence-name,Simulation support component for Modelo Dani SN:040007,Ventilation flow detector for tracking inspiratory and expiratory flow for Modelo Dani SN:040007
pmsr:CPI9455826013197,pmsr:/COM17860549784668110,pmsr:/INS1739287092102085/CTS/0001,0001,pmsr:INI1784603367412,Modelo Suporte Avançado de Vida SN:040008,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Modelo Suporte Avançado de Vida SN:040008,Primary state detector for simulator condition monitoring
pmsr:CPI5655877320506,pmsr:/COM17860549784668170,pmsr:/INS1739287092102085/CTS/0002,0002,pmsr:INI1784603367412,Modelo Suporte Avançado de Vida SN:040008,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Modelo Suporte Avançado de Vida SN:040008,Primary response actuator for simulator state control
pmsr:CPI5031703244415,pmsr:/COM9c87dd2ffb8889986,pmsr:/INS1739287092102085/CTS/0003,0003,pmsr:INI1784603367412,Modelo Suporte Avançado de Vida SN:040008,Medical Examination Simulators Interaction Event Detector,component-evidence-name,Simulation support component for Modelo Suporte Avançado de Vida SN:040008,Interaction event detector for tracking learner actions for Modelo Suporte Avançado de Vida SN:040008
pmsr:CPI2548473017265,pmsr:/COM9dc7088e7b0c6b1d9,pmsr:/INS1739287092102085/CTS/0004,0004,pmsr:INI1784603367412,Modelo Suporte Avançado de Vida SN:040008,Medical Examination Simulators Airway Pressure Detector,component-evidence-name,Simulation support component for Modelo Suporte Avançado de Vida SN:040008,Airway pressure detector for monitoring ventilation pressure for Modelo Suporte Avançado de Vida SN:040008
pmsr:CPI0747095672108,pmsr:/COM91841a32f2e6095c0,pmsr:/INS1739287092102085/CTS/0005,0005,pmsr:INI1784603367412,Modelo Suporte Avançado de Vida SN:040008,Medical Examination Simulators Pulse Rate Detector,component-evidence-name,Simulation support component for Modelo Suporte Avançado de Vida SN:040008,Pulse rate detector for monitoring cardiovascular response for Modelo Suporte Avançado de Vida SN:040008
pmsr:CPI4450986902265,pmsr:/COM17860549784662970,pmsr:/INS1739392182337835/CTS/0001,0001,pmsr:INI1784603367413,Monitor Cardíaco de simulação SN:040009,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Monitor Cardíaco de simulação SN:040009,Primary state detector for simulator condition monitoring
pmsr:CPI0389910759528,pmsr:/COM17860549784663010,pmsr:/INS1739392182337835/CTS/0002,0002,pmsr:INI1784603367413,Monitor Cardíaco de simulação SN:040009,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Monitor Cardíaco de simulação SN:040009,Primary response actuator for simulator state control
pmsr:CPI5068976863019,pmsr:/COM95a5e3eb50affb204,pmsr:/INS1739392182337835/CTS/0003,0003,pmsr:INI1784603367413,Monitor Cardíaco de simulação SN:040009,Cardiac Procedure Simulator Pulse Rate Detector,component-evidence-name,Simulation support component for Monitor Cardíaco de simulação SN:040009,Pulse rate detector for monitoring cardiovascular response for Monitor Cardíaco de simulação SN:040009
pmsr:CPI4834668697205,pmsr:/COM9af58efb3d975da63,pmsr:/INS1739392182337835/CTS/0004,0004,pmsr:INI1784603367413,Monitor Cardíaco de simulação SN:040009,Cardiac Procedure Simulator Airway Pressure Detector,component-evidence-name,Simulation support component for Monitor Cardíaco de simulação SN:040009,Airway pressure detector for monitoring ventilation pressure for Monitor Cardíaco de simulação SN:040009
pmsr:CPI8589205604205,pmsr:/COM905b86b9e5409690b,pmsr:/INS1739392182337835/CTS/0005,0005,pmsr:INI1784603367413,Monitor Cardíaco de simulação SN:040009,Cardiac Procedure Simulator Applied Force Detector,component-evidence-name,Simulation support component for Monitor Cardíaco de simulação SN:040009,Applied force detector for monitoring procedural force application for Monitor Cardíaco de simulação SN:040009
pmsr:CPI4552357899323,pmsr:/COM17860549784667460,pmsr:/INS1739403078441215/CTS/0001,0001,pmsr:INI1784603367415,Simulador de Ecografia SN:040010,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador de Ecografia SN:040010,Primary state detector for simulator condition monitoring
pmsr:CPI8127858214691,pmsr:/COM17860549784667520,pmsr:/INS1739403078441215/CTS/0002,0002,pmsr:INI1784603367415,Simulador de Ecografia SN:040010,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador de Ecografia SN:040010,Primary response actuator for simulator state control
pmsr:CPI3916594709323,pmsr:/COM9c6cddcd7be6dfeed,pmsr:/INS1739403078441215/CTS/0003,0003,pmsr:INI1784603367415,Simulador de Ecografia SN:040010,Male Genitalia Catherization Simulator Interaction Event Detector,component-evidence-name,Simulation support component for Simulador de Ecografia SN:040010,Interaction event detector for tracking learner actions for Simulador de Ecografia SN:040010
pmsr:CPI8150194616132,pmsr:/COM90535c42b737ab252,pmsr:/INS1739403078441215/CTS/0004,0004,pmsr:INI1784603367415,Simulador de Ecografia SN:040010,Male Genitalia Catherization Simulator Airway Pressure Detector,component-evidence-name,Simulation support component for Simulador de Ecografia SN:040010,Airway pressure detector for monitoring ventilation pressure for Simulador de Ecografia SN:040010
pmsr:CPI0187399016646,pmsr:/COM925add590b39e6766,pmsr:/INS1739403078441215/CTS/0005,0005,pmsr:INI1784603367415,Simulador de Ecografia SN:040010,Male Genitalia Catherization Simulator Pulse Rate Detector,component-evidence-name,Simulation support component for Simulador de Ecografia SN:040010,Pulse rate detector for monitoring cardiovascular response for Simulador de Ecografia SN:040010
pmsr:CPI0737313053098,pmsr:/COM92bc236a1eff684d6,pmsr:/INS1739403078441215/CTS/0006,0006,pmsr:INI1784603367415,Simulador de Ecografia SN:040010,Male Genitalia Catherization Simulator Applied Force Detector,component-evidence-name,Simulation support component for Simulador de Ecografia SN:040010,Applied force detector for monitoring procedural force application for Simulador de Ecografia SN:040010
pmsr:CPI4057142053643,pmsr:/COM9fe390ee21f9c6e69,pmsr:/INS1739403078441215/CTS/0007,0007,pmsr:INI1784603367415,Simulador de Ecografia SN:040010,Male Genitalia Catherization Simulator Venous Flashback Detector,component-evidence-name,Simulation support component for Simulador de Ecografia SN:040010,Venous flashback detector for confirming vascular access events for Simulador de Ecografia SN:040010
pmsr:CPI1319784093053,pmsr:/COM94ff38d500c92a013,pmsr:/INS1739403078441215/CTS/0008,0008,pmsr:INI1784603367415,Simulador de Ecografia SN:040010,Male Genitalia Catherization Simulator Procedure Completion Detector,component-evidence-name,Simulation support component for Simulador de Ecografia SN:040010,Procedure completion detector for validating successful procedure end state for Simulador de Ecografia SN:040010
pmsr:CPI2110947820427,pmsr:/COM9c29aa34108bf9ca0,pmsr:/INS1739403078441215/CTS/0009,0009,pmsr:INI1784603367415,Simulador de Ecografia SN:040010,Male Genitalia Catherization Simulator Ventilation Flow Detector,component-evidence-name,Simulation support component for Simulador de Ecografia SN:040010,Ventilation flow detector for tracking inspiratory and expiratory flow for Simulador de Ecografia SN:040010
pmsr:CPI6909548228696,pmsr:/COM17860549784665130,pmsr:/INS1739402037946315/CTS/0001,0001,pmsr:INI1784603367416,Simulador de inserção de cateter central SN:040011,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador de inserção de cateter central SN:040011,Primary state detector for simulator condition monitoring
pmsr:CPI8546415920261,pmsr:/COM17860549784665170,pmsr:/INS1739402037946315/CTS/0002,0002,pmsr:INI1784603367416,Simulador de inserção de cateter central SN:040011,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador de inserção de cateter central SN:040011,Primary response actuator for simulator state control
pmsr:CPI3935302831094,pmsr:/COM9727fb50145c10e09,pmsr:/INS1739402037946315/CTS/0003,0003,pmsr:INI1784603367416,Simulador de inserção de cateter central SN:040011,IV Fluid Administration Interaction Event Detector,component-evidence-name,Simulation support component for Simulador de inserção de cateter central SN:040011,Interaction event detector for tracking learner actions for Simulador de inserção de cateter central SN:040011
pmsr:CPI5641845010036,pmsr:/COM9ab325b780c153c16,pmsr:/INS1739402037946315/CTS/0004,0004,pmsr:INI1784603367416,Simulador de inserção de cateter central SN:040011,IV Fluid Administration Airway Pressure Detector,component-evidence-name,Simulation support component for Simulador de inserção de cateter central SN:040011,Airway pressure detector for monitoring ventilation pressure for Simulador de inserção de cateter central SN:040011
pmsr:CPI0707438405922,pmsr:/COM9a6077a472e113288,pmsr:/INS1739402037946315/CTS/0005,0005,pmsr:INI1784603367416,Simulador de inserção de cateter central SN:040011,IV Fluid Administration Pulse Rate Detector,component-evidence-name,Simulation support component for Simulador de inserção de cateter central SN:040011,Pulse rate detector for monitoring cardiovascular response for Simulador de inserção de cateter central SN:040011
pmsr:CPI7723683353353,pmsr:/COM17860549784665130,pmsr:/INS1739402037946315/CTS/0001,0001,pmsr:INI1784603367417,Simulador de inserção de PICC SN:040012,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador de inserção de PICC SN:040012,Primary state detector for simulator condition monitoring
pmsr:CPI4219770011509,pmsr:/COM17860549784665170,pmsr:/INS1739402037946315/CTS/0002,0002,pmsr:INI1784603367417,Simulador de inserção de PICC SN:040012,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador de inserção de PICC SN:040012,Primary response actuator for simulator state control
pmsr:CPI7472235403211,pmsr:/COM9727fb50145c10e09,pmsr:/INS1739402037946315/CTS/0003,0003,pmsr:INI1784603367417,Simulador de inserção de PICC SN:040012,IV Fluid Administration Interaction Event Detector,component-evidence-name,Simulation support component for Simulador de inserção de PICC SN:040012,Interaction event detector for tracking learner actions for Simulador de inserção de PICC SN:040012
pmsr:CPI2952368835912,pmsr:/COM9ab325b780c153c16,pmsr:/INS1739402037946315/CTS/0004,0004,pmsr:INI1784603367417,Simulador de inserção de PICC SN:040012,IV Fluid Administration Airway Pressure Detector,component-evidence-name,Simulation support component for Simulador de inserção de PICC SN:040012,Airway pressure detector for monitoring ventilation pressure for Simulador de inserção de PICC SN:040012
pmsr:CPI4823607818151,pmsr:/COM9a6077a472e113288,pmsr:/INS1739402037946315/CTS/0005,0005,pmsr:INI1784603367417,Simulador de inserção de PICC SN:040012,IV Fluid Administration Pulse Rate Detector,component-evidence-name,Simulation support component for Simulador de inserção de PICC SN:040012,Pulse rate detector for monitoring cardiovascular response for Simulador de inserção de PICC SN:040012
pmsr:CPI4649752019210,pmsr:/COM17860549784663750,pmsr:/INS1739287021517805/CTS/0001,0001,pmsr:INI1784603367419,Simulador de sutura SN:040013,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador de sutura SN:040013,Primary state detector for simulator condition monitoring
pmsr:CPI3433624576043,pmsr:/COM17860549784663800,pmsr:/INS1739287021517805/CTS/0002,0002,pmsr:INI1784603367419,Simulador de sutura SN:040013,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador de sutura SN:040013,Primary response actuator for simulator state control
pmsr:CPI8857141766057,pmsr:/COM99ce671ab8b1d5b03,pmsr:/INS1739287021517805/CTS/0003,0003,pmsr:INI1784603367419,Simulador de sutura SN:040013,Diagnostic Simulators Interaction Event Detector,component-evidence-name,Simulation support component for Simulador de sutura SN:040013,Interaction event detector for tracking learner actions for Simulador de sutura SN:040013
pmsr:CPI1692345199597,pmsr:/COM98e23d9aee3a31b34,pmsr:/INS1739287021517805/CTS/0004,0004,pmsr:INI1784603367419,Simulador de sutura SN:040013,Diagnostic Simulators Airway Pressure Detector,component-evidence-name,Simulation support component for Simulador de sutura SN:040013,Airway pressure detector for monitoring ventilation pressure for Simulador de sutura SN:040013
pmsr:CPI3637260371228,pmsr:/COM9ebbbd6c6cc5db4e8,pmsr:/INS1739287021517805/CTS/0005,0005,pmsr:INI1784603367419,Simulador de sutura SN:040013,Diagnostic Simulators Pulse Rate Detector,component-evidence-name,Simulation support component for Simulador de sutura SN:040013,Pulse rate detector for monitoring cardiovascular response for Simulador de sutura SN:040013
pmsr:CPI8043533158836,pmsr:/COM17860549784660680,pmsr:/INS1739398437257165/CTS/0001,0001,pmsr:INI1784603367420,Simulador de via aérea difícil SN:040014,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador de via aérea difícil SN:040014,Primary state detector for simulator condition monitoring
pmsr:CPI1340953389251,pmsr:/COM17860549784660740,pmsr:/INS1739398437257165/CTS/0002,0002,pmsr:INI1784603367420,Simulador de via aérea difícil SN:040014,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador de via aérea difícil SN:040014,Primary response actuator for simulator state control
pmsr:CPI9869907767221,pmsr:/COM9ffcd363eade12c3c,pmsr:/INS1739398437257165/CTS/0003,0003,pmsr:INI1784603367420,Simulador de via aérea difícil SN:040014,Airway Simulator Airway Pressure Detector,component-evidence-name,Simulation support component for Simulador de via aérea difícil SN:040014,Airway pressure detector for monitoring ventilation pressure for Simulador de via aérea difícil SN:040014
pmsr:CPI6725665574092,pmsr:/COM950b3d31e301fbc7e,pmsr:/INS1739398437257165/CTS/0004,0004,pmsr:INI1784603367420,Simulador de via aérea difícil SN:040014,Airway Simulator Pulse Rate Detector,component-evidence-name,Simulation support component for Simulador de via aérea difícil SN:040014,Pulse rate detector for monitoring cardiovascular response for Simulador de via aérea difícil SN:040014
pmsr:CPI9218030170515,pmsr:/COM935fb928072e9f557,pmsr:/INS1739398437257165/CTS/0005,0005,pmsr:INI1784603367420,Simulador de via aérea difícil SN:040014,Airway Simulator Applied Force Detector,component-evidence-name,Simulation support component for Simulador de via aérea difícil SN:040014,Applied force detector for monitoring procedural force application for Simulador de via aérea difícil SN:040014
pmsr:CPI2311724187174,pmsr:/COM17860549784667460,pmsr:/INS1739403078441215/CTS/0001,0001,pmsr:INI1784603367421,Simuladores de acesso vascular por ultrassom SN:040015,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simuladores de acesso vascular por ultrassom SN:040015,Primary state detector for simulator condition monitoring
pmsr:CPI6930766078976,pmsr:/COM17860549784667520,pmsr:/INS1739403078441215/CTS/0002,0002,pmsr:INI1784603367421,Simuladores de acesso vascular por ultrassom SN:040015,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simuladores de acesso vascular por ultrassom SN:040015,Primary response actuator for simulator state control
pmsr:CPI9824336870076,pmsr:/COM9c6cddcd7be6dfeed,pmsr:/INS1739403078441215/CTS/0003,0003,pmsr:INI1784603367421,Simuladores de acesso vascular por ultrassom SN:040015,Male Genitalia Catherization Simulator Interaction Event Detector,component-evidence-name,Simulation support component for Simuladores de acesso vascular por ultrassom SN:040015,Interaction event detector for tracking learner actions for Simuladores de acesso vascular por ultrassom SN:040015
pmsr:CPI1690541340716,pmsr:/COM90535c42b737ab252,pmsr:/INS1739403078441215/CTS/0004,0004,pmsr:INI1784603367421,Simuladores de acesso vascular por ultrassom SN:040015,Male Genitalia Catherization Simulator Airway Pressure Detector,component-evidence-name,Simulation support component for Simuladores de acesso vascular por ultrassom SN:040015,Airway pressure detector for monitoring ventilation pressure for Simuladores de acesso vascular por ultrassom SN:040015
pmsr:CPI6501377782072,pmsr:/COM925add590b39e6766,pmsr:/INS1739403078441215/CTS/0005,0005,pmsr:INI1784603367421,Simuladores de acesso vascular por ultrassom SN:040015,Male Genitalia Catherization Simulator Pulse Rate Detector,component-evidence-name,Simulation support component for Simuladores de acesso vascular por ultrassom SN:040015,Pulse rate detector for monitoring cardiovascular response for Simuladores de acesso vascular por ultrassom SN:040015
pmsr:CPI7320428183371,pmsr:/COM92bc236a1eff684d6,pmsr:/INS1739403078441215/CTS/0006,0006,pmsr:INI1784603367421,Simuladores de acesso vascular por ultrassom SN:040015,Male Genitalia Catherization Simulator Applied Force Detector,component-evidence-name,Simulation support component for Simuladores de acesso vascular por ultrassom SN:040015,Applied force detector for monitoring procedural force application for Simuladores de acesso vascular por ultrassom SN:040015
pmsr:CPI1430887574906,pmsr:/COM9fe390ee21f9c6e69,pmsr:/INS1739403078441215/CTS/0007,0007,pmsr:INI1784603367421,Simuladores de acesso vascular por ultrassom SN:040015,Male Genitalia Catherization Simulator Venous Flashback Detector,component-evidence-name,Simulation support component for Simuladores de acesso vascular por ultrassom SN:040015,Venous flashback detector for confirming vascular access events for Simuladores de acesso vascular por ultrassom SN:040015
pmsr:CPI3738511238248,pmsr:/COM94ff38d500c92a013,pmsr:/INS1739403078441215/CTS/0008,0008,pmsr:INI1784603367421,Simuladores de acesso vascular por ultrassom SN:040015,Male Genitalia Catherization Simulator Procedure Completion Detector,component-evidence-name,Simulation support component for Simuladores de acesso vascular por ultrassom SN:040015,Procedure completion detector for validating successful procedure end state for Simuladores de acesso vascular por ultrassom SN:040015
pmsr:CPI2551362796627,pmsr:/COM9c29aa34108bf9ca0,pmsr:/INS1739403078441215/CTS/0009,0009,pmsr:INI1784603367421,Simuladores de acesso vascular por ultrassom SN:040015,Male Genitalia Catherization Simulator Ventilation Flow Detector,component-evidence-name,Simulation support component for Simuladores de acesso vascular por ultrassom SN:040015,Ventilation flow detector for tracking inspiratory and expiratory flow for Simuladores de acesso vascular por ultrassom SN:040015
pmsr:CPI2017523184638,pmsr:/COM17860549784667900,ncit:C16830/CTS/0001,0001,pmsr:INI1784603367441,Localizadores de veias infravermelhos SN:050002,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Localizadores de veias infravermelhos SN:050002,Primary state detector for simulator condition monitoring
pmsr:CPI7886015091362,pmsr:/COM17860549784667940,ncit:C16830/CTS/0002,0002,pmsr:INI1784603367441,Localizadores de veias infravermelhos SN:050002,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Localizadores de veias infravermelhos SN:050002,Primary response actuator for simulator state control
pmsr:CPI9007369769063,pmsr:/COM909d6d9cdb98cf3b5,ncit:C16830/CTS/0003,0003,pmsr:INI1784603367441,Localizadores de veias infravermelhos SN:050002,Medical Device Interaction Event Detector,component-evidence-name,Simulation support component for Localizadores de veias infravermelhos SN:050002,Interaction event detector for tracking learner actions for Localizadores de veias infravermelhos SN:050002
pmsr:CPI1863347153998,pmsr:/COM17860549784665130,pmsr:/INS1739402037946315/CTS/0001,0001,pmsr:INI1784603367442,Membros para cateterismo SN:050003,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Membros para cateterismo SN:050003,Primary state detector for simulator condition monitoring
pmsr:CPI6685877908305,pmsr:/COM17860549784665170,pmsr:/INS1739402037946315/CTS/0002,0002,pmsr:INI1784603367442,Membros para cateterismo SN:050003,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Membros para cateterismo SN:050003,Primary response actuator for simulator state control
pmsr:CPI8458232724312,pmsr:/COM9727fb50145c10e09,pmsr:/INS1739402037946315/CTS/0003,0003,pmsr:INI1784603367442,Membros para cateterismo SN:050003,IV Fluid Administration Interaction Event Detector,component-evidence-name,Simulation support component for Membros para cateterismo SN:050003,Interaction event detector for tracking learner actions for Membros para cateterismo SN:050003
pmsr:CPI9919403712572,pmsr:/COM9ab325b780c153c16,pmsr:/INS1739402037946315/CTS/0004,0004,pmsr:INI1784603367442,Membros para cateterismo SN:050003,IV Fluid Administration Airway Pressure Detector,component-evidence-name,Simulation support component for Membros para cateterismo SN:050003,Airway pressure detector for monitoring ventilation pressure for Membros para cateterismo SN:050003
pmsr:CPI2781493799650,pmsr:/COM9a6077a472e113288,pmsr:/INS1739402037946315/CTS/0005,0005,pmsr:INI1784603367442,Membros para cateterismo SN:050003,IV Fluid Administration Pulse Rate Detector,component-evidence-name,Simulation support component for Membros para cateterismo SN:050003,Pulse rate detector for monitoring cardiovascular response for Membros para cateterismo SN:050003
pmsr:CPI2963746827028,pmsr:/COM17860549784665130,pmsr:/INS1739402037946315/CTS/0001,0001,pmsr:INI1784603367444,Membros para cateterismo SN:050004,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Membros para cateterismo SN:050004,Primary state detector for simulator condition monitoring
pmsr:CPI0207803234799,pmsr:/COM17860549784665170,pmsr:/INS1739402037946315/CTS/0002,0002,pmsr:INI1784603367444,Membros para cateterismo SN:050004,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Membros para cateterismo SN:050004,Primary response actuator for simulator state control
pmsr:CPI4798256061754,pmsr:/COM9727fb50145c10e09,pmsr:/INS1739402037946315/CTS/0003,0003,pmsr:INI1784603367444,Membros para cateterismo SN:050004,IV Fluid Administration Interaction Event Detector,component-evidence-name,Simulation support component for Membros para cateterismo SN:050004,Interaction event detector for tracking learner actions for Membros para cateterismo SN:050004
pmsr:CPI8356304709801,pmsr:/COM9ab325b780c153c16,pmsr:/INS1739402037946315/CTS/0004,0004,pmsr:INI1784603367444,Membros para cateterismo SN:050004,IV Fluid Administration Airway Pressure Detector,component-evidence-name,Simulation support component for Membros para cateterismo SN:050004,Airway pressure detector for monitoring ventilation pressure for Membros para cateterismo SN:050004
pmsr:CPI4792787989703,pmsr:/COM9a6077a472e113288,pmsr:/INS1739402037946315/CTS/0005,0005,pmsr:INI1784603367444,Membros para cateterismo SN:050004,IV Fluid Administration Pulse Rate Detector,component-evidence-name,Simulation support component for Membros para cateterismo SN:050004,Pulse rate detector for monitoring cardiovascular response for Membros para cateterismo SN:050004
pmsr:CPI5899573363964,pmsr:/COM17860549784663600,pmsr:/INS1739288006994165/CTS/0001,0001,pmsr:INI1784603367445,Simulador decisão clínica SN:050005,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador decisão clínica SN:050005,Primary state detector for simulator condition monitoring
pmsr:CPI4490037692542,pmsr:/COM17860549784663640,pmsr:/INS1739288006994165/CTS/0002,0002,pmsr:INI1784603367445,Simulador decisão clínica SN:050005,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador decisão clínica SN:050005,Primary response actuator for simulator state control
pmsr:CPI7302971169893,pmsr:/COM9f849432b7ab6abfb,pmsr:/INS1739288006994165/CTS/0003,0003,pmsr:INI1784603367445,Simulador decisão clínica SN:050005,Diagnostic Imaging Simulator Probe Contact Detector,component-evidence-name,Simulation support component for Simulador decisão clínica SN:050005,Probe contact detector for verifying probe-to-surface contact quality for Simulador decisão clínica SN:050005
pmsr:CPI4551902643807,pmsr:/COM17860549784668980,pmsr:/INS1740143878244085/CTS/0001,0001,pmsr:INI1784603367446,Simulador Obstetrícia SN:050006,,final-curated-fallback-function-only,State detector for monitoring simulator condition changes for Simulador Obstetrícia SN:050006,Primary state detector for simulator condition monitoring
pmsr:CPI7547904996766,pmsr:/COM17860549784669030,pmsr:/INS1740143878244085/CTS/0002,0002,pmsr:INI1784603367446,Simulador Obstetrícia SN:050006,,final-curated-fallback-function-only,Response actuator for driving simulator state changes for Simulador Obstetrícia SN:050006,Primary response actuator for simulator state control
